Drug Name,Description,URL,License Note,License URL,cid,SMILES
IODIPAMIDE MEGLUMINE,"The FDA Global Substance Registration System (GSRS) enables the efficient and accurate exchange of information on what substances are in regulated products. Instead of relying on names, which vary across regulatory domains, countries, and regions, the GSRS knowledge base makes it possible for substances to be defined by standardized, scientific descriptions.",https://gsrs.ncats.nih.gov/ginas/app/beta/substances/X064O0Y1A4,"Unless otherwise noted, the contents of the FDA website (www.fda.gov), both text and graphics, are not copyrighted. They are in the public domain and may be republished, reprinted and otherwise used freely by anyone without the need to obtain permission from FDA. Credit to the U.S. Food and Drug Administration as the source is appreciated but not required.",https://www.fda.gov/about-fda/about-website/website-policies#linking,[636408],CNCC(C(C(C(CO)O)O)O)O.CNCC(C(C(C(CO)O)O)O)O.C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I
"1,3-DICHLOROACETONE","The FDA Global Substance Registration System (GSRS) enables the efficient and accurate exchange of information on what substances are in regulated products. Instead of relying on names, which vary across regulatory domains, countries, and regions, the GSRS knowledge base makes it possible for substances to be defined by standardized, scientific descriptions.",https://gsrs.ncats.nih.gov/ginas/app/beta/substances/UFH8559WS5,"Unless otherwise noted, the contents of the FDA website (www.fda.gov), both text and graphics, are not copyrighted. They are in the public domain and may be republished, reprinted and otherwise used freely by anyone without the need to obtain permission from FDA. Credit to the U.S. Food and Drug Administration as the source is appreciated but not required.",https://www.fda.gov/about-fda/about-website/website-policies#linking,[10793],C(C(=O)CCl)Cl
MANGANESE BENZOATE TETRAHYDRATE,"The FDA Global Substance Registration System (GSRS) enables the efficient and accurate exchange of information on what substances are in regulated products. Instead of relying on names, which vary across regulatory domains, countries, and regions, the GSRS knowledge base makes it possible for substances to be defined by standardized, scientific descriptions.",https://gsrs.ncats.nih.gov/ginas/app/beta/substances/RLV0M78S00,"Unless otherwise noted, the contents of the FDA website (www.fda.gov), both text and graphics, are not copyrighted. They are in the public domain and may be republished, reprinted and otherwise used freely by anyone without the need to obtain permission from FDA. Credit to the U.S. Food and Drug Administration as the source is appreciated but not required.",https://www.fda.gov/about-fda/about-website/website-policies#linking,[71586873],C1=CC=C(C=C1)C(=O)[O-].C1=CC=C(C=C1)C(=O)[O-].O.O.O.O.[Mn]
6-O-METHYL-.ALPHA.-D-GALACTOPYRANOSE,"The FDA Global Substance Registration System (GSRS) enables the efficient and accurate exchange of information on what substances are in regulated products. Instead of relying on names, which vary across regulatory domains, countries, and regions, the GSRS knowledge base makes it possible for substances to be defined by standardized, scientific descriptions.",https://gsrs.ncats.nih.gov/ginas/app/beta/substances/P8XHX4S004,"Unless otherwise noted, the contents of the FDA website (www.fda.gov), both text and graphics, are not copyrighted. They are in the public domain and may be republished, reprinted and otherwise used freely by anyone without the need to obtain permission from FDA. Credit to the U.S. Food and Drug Administration as the source is appreciated but not required.",https://www.fda.gov/about-fda/about-website/website-policies#linking,[44269524],COCC1C(C(C(C(O1)O)O)O)O
"DIALLYL DIOXIDE, THREO-(R,R)-","The FDA Global Substance Registration System (GSRS) enables the efficient and accurate exchange of information on what substances are in regulated products. Instead of relying on names, which vary across regulatory domains, countries, and regions, the GSRS knowledge base makes it possible for substances to be defined by standardized, scientific descriptions.",https://gsrs.ncats.nih.gov/ginas/app/beta/substances/996KQ9AZCS,"Unless otherwise noted, the contents of the FDA website (www.fda.gov), both text and graphics, are not copyrighted. They are in the public domain and may be republished, reprinted and otherwise used freely by anyone without the need to obtain permission from FDA. Credit to the U.S. Food and Drug Administration as the source is appreciated but not required.",https://www.fda.gov/about-fda/about-website/website-policies#linking,[6994054],C1C(O1)CCC2CO2
"EPOXYPREGN-4-ENE-3,20-DIONE, (11.BETA.,12.BETA.)-","The FDA Global Substance Registration System (GSRS) enables the efficient and accurate exchange of information on what substances are in regulated products. Instead of relying on names, which vary across regulatory domains, countries, and regions, the GSRS knowledge base makes it possible for substances to be defined by standardized, scientific descriptions.",https://gsrs.ncats.nih.gov/ginas/app/beta/substances/EG4YOM521E,"Unless otherwise noted, the contents of the FDA website (www.fda.gov), both text and graphics, are not copyrighted. They are in the public domain and may be republished, reprinted and otherwise used freely by anyone without the need to obtain permission from FDA. Credit to the U.S. Food and Drug Administration as the source is appreciated but not required.",https://www.fda.gov/about-fda/about-website/website-policies#linking,[240517],CC(=O)C1CCC2C1(C3C(O3)C4C2CCC5=CC(=O)CCC45C)C
ESUBERAPROST SODIUM,"The FDA Global Substance Registration System (GSRS) enables the efficient and accurate exchange of information on what substances are in regulated products. Instead of relying on names, which vary across regulatory domains, countries, and regions, the GSRS knowledge base makes it possible for substances to be defined by standardized, scientific descriptions.",https://gsrs.ncats.nih.gov/ginas/app/beta/substances/6C8TLD4Q9K,"Unless otherwise noted, the contents of the FDA website (www.fda.gov), both text and graphics, are not copyrighted. They are in the public domain and may be republished, reprinted and otherwise used freely by anyone without the need to obtain permission from FDA. Credit to the U.S. Food and Drug Administration as the source is appreciated but not required.",https://www.fda.gov/about-fda/about-website/website-policies#linking,[71587534],CC#CCC(C)C(C=CC1C(CC2C1C3=CC=CC(=C3O2)CCCC(=O)[O-])O)O.[Na+]
ZOLPIDEM TARTRATE,"The FDA Global Substance Registration System (GSRS) enables the efficient and accurate exchange of information on what substances are in regulated products. Instead of relying on names, which vary across regulatory domains, countries, and regions, the GSRS knowledge base makes it possible for substances to be defined by standardized, scientific descriptions.",https://gsrs.ncats.nih.gov/ginas/app/beta/substances/WY6W63843K,"Unless otherwise noted, the contents of the FDA website (www.fda.gov), both text and graphics, are not copyrighted. They are in the public domain and may be republished, reprinted and otherwise used freely by anyone without the need to obtain permission from FDA. Credit to the U.S. Food and Drug Administration as the source is appreciated but not required.",https://www.fda.gov/about-fda/about-website/website-policies#linking,[441338],CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C.CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C.C(C(C(=O)O)O)(C(=O)O)O
SODIUM UNDECAFLUOROHEXANOATE,"The FDA Global Substance Registration System (GSRS) enables the efficient and accurate exchange of information on what substances are in regulated products. Instead of relying on names, which vary across regulatory domains, countries, and regions, the GSRS knowledge base makes it possible for substances to be defined by standardized, scientific descriptions.",https://gsrs.ncats.nih.gov/ginas/app/beta/substances/OO621FAE3R,"Unless otherwise noted, the contents of the FDA website (www.fda.gov), both text and graphics, are not copyrighted. They are in the public domain and may be republished, reprinted and otherwise used freely by anyone without the need to obtain permission from FDA. Credit to the U.S. Food and Drug Administration as the source is appreciated but not required.",https://www.fda.gov/about-fda/about-website/website-policies#linking,[23678863],C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+]
DECYL THIOCYANATE,"The FDA Global Substance Registration System (GSRS) enables the efficient and accurate exchange of information on what substances are in regulated products. Instead of relying on names, which vary across regulatory domains, countries, and regions, the GSRS knowledge base makes it possible for substances to be defined by standardized, scientific descriptions.",https://gsrs.ncats.nih.gov/ginas/app/beta/substances/U37IEW88R3,"Unless otherwise noted, the contents of the FDA website (www.fda.gov), both text and graphics, are not copyrighted. They are in the public domain and may be republished, reprinted and otherwise used freely by anyone without the need to obtain permission from FDA. Credit to the U.S. Food and Drug Administration as the source is appreciated but not required.",https://www.fda.gov/about-fda/about-website/website-policies#linking,[79301],CCCCCCCCCCSC#N
